ZCTA5CE10,Kmeans 6 Clusters,Kmeans 30 Clusters,DBSCAN Clusters
20903,0,10,0
20715,0,10,-1
20716,0,23,-1
20720,0,4,-1
20781,3,2,-1
20910,2,17,-1
20782,0,10,-1
20784,3,2,0
20785,3,2,0
20724,0,10,-1
20740,0,10,0
20814,2,29,-1
20815,2,8,-1
20817,2,9,-1
20743,3,2,-1
20744,3,7,-1
20745,3,11,-1
20746,3,15,-1
20850,2,4,-1
20851,0,27,-1
20705,0,10,-1
20747,3,2,-1
20748,5,16,-1
20706,0,10,-1
20707,0,0,-1
20710,3,2,-1
20852,2,29,-1
20770,3,2,0
20877,0,10,0
20878,0,4,0
20886,0,10,-1
20901,0,10,0
22309,3,15,-1
22310,3,11,1
22311,4,5,2
22312,4,1,-1
22314,1,12,3
22315,2,16,-1
20147,0,4,0
20151,0,4,0
20152,0,4,-1
20164,0,4,-1
20165,5,26,-1
20166,2,21,-1
22079,2,14,-1
20170,2,4,-1
20171,2,4,-1
22205,1,24,-1
22206,4,5,2
22207,1,13,-1
22209,1,12,3
22301,1,5,-1
22302,4,5,2
22303,4,1,1
20190,2,11,-1
20191,2,11,-1
22003,3,11,-1
22015,2,11,-1
22030,2,18,-1
22304,4,1,1
22305,4,5,-1
22306,3,14,-1
22307,4,1,4
22102,2,8,-1
22150,3,11,1
22151,2,11,-1
22152,3,11,1
22153,2,28,-1
22031,2,1,-1
22041,4,20,-1
22042,4,1,1
22043,4,1,-1
22044,4,1,-1
22180,2,1,-1
22181,2,25,-1
22046,4,1,4
22191,0,27,-1
22192,0,10,0
22201,1,12,3
22202,1,12,-1
22203,4,5,-1
22204,4,5,2
20016,1,3,-1
20017,4,1,1
20018,4,1,1
20019,3,19,-1
20036,1,6,-1
20037,1,12,-1
20005,1,6,-1
20007,1,3,-1
20008,1,3,-1
20009,1,8,-1
20010,2,8,-1
20011,2,1,1
20012,2,29,-1
20015,2,22,-1
20020,4,19,-1
20024,1,12,3
20001,1,12,3
20032,4,19,-1
20002,4,1,1
20003,1,12,3
