ZCTA5CE10,06:00:00,06:30:00,07:00:00,07:30:00,08:00:00,08:30:00,09:00:00,09:30:00
23085,162.09340000000003,155.42,146.8168,145.73,144.39679999999998,142.68,142.9368,142.99319999999997
23086,145.6732,141.2468,133.3798,124.85679999999999,125.1268,123.07660000000001,121.5934,121.59679999999999
23089,157.23000000000002,151.01659999999998,140.71999999999997,136.9134,136.0668,134.5002,134.1534,134.3832
23091,167.03000000000003,160.35340000000002,151.7498,150.6268,149.29339999999996,147.6168,147.85340000000002,148.0932
23092,173.48000000000002,165.77,158.6566,157.35340000000002,156.5932,155.39000000000001,155.78659999999996,157.3332
23093,142.5366,139.4234,134.74360000000001,125.08,123.48339999999999,122.5568,120.97,120.9434
23102,145.2532,140.03359999999998,133.4034,124.54339999999999,122.5934,121.6368,120.55320000000002,120.6568
23103,141.9198,137.60660000000001,130.52339999999998,121.71340000000001,119.74980000000001,118.91000000000001,117.89000000000001,117.96
23106,142.2366,138.6734,130.2168,122.0334,120.10659999999999,119.14000000000001,117.95980000000002,118.2266
23108,176.42000000000002,166.17000000000002,161.5,160.1698,158.89339999999999,158.7932,158.97,160.0368
23109,191.3732,183.5232,181.71679999999998,180.28019999999998,179.0366,179.40320000000003,180.41680000000002,181.5232
23110,166.21,159.11680000000004,150.8166,149.24020000000002,147.7298,146.6202,146.5666,147.8066
23111,142.7,139.18,131.24999999999997,124.96019999999999,123.79679999999999,120.9668,119.27680000000001,119.6434
20158,52.3966,55.2564,60.1168,64.78999999999999,64.0134,59.0766,56.8732,57.8232
20164,36.2,38.86659999999999,42.019999999999996,48.39,51.4834,49.65339999999999,45.443400000000004,46.50320000000001
20165,40.433400000000006,43.11999999999999,46.406600000000005,51.81660000000001,53.9168,51.510000000000005,48.1668,49.9798
20166,32.839999999999996,33.03,34.236599999999996,40.28,42.42659999999999,40.4834,36.0298,39.4132
23112,149.94340000000003,144.74020000000002,136.5798,133.3666,132.1098,127.83339999999998,125.64320000000001,125.6836
23113,146.40320000000003,141.65680000000003,133.84660000000002,127.38020000000002,126.2334,124.5934,122.11659999999999,121.9034
23114,149.7198,144.3966,136.52339999999998,132.6868,132.19,128.03339999999997,125.95339999999999,126.16659999999999
23115,153.67680000000001,147.17000000000002,138.42680000000001,133.13340000000002,132.59,131.60660000000001,130.91680000000002,130.6566
23116,133.2634,130.6932,123.6932,114.6,110.43979999999999,109.6232,108.4066,107.95980000000002
23117,134.5366,132.68,127.29659999999998,117.3098,113.42999999999999,112.8768,111.2032,110.7568
23119,196.2298,189.903,188.67340000000002,187.09000000000003,186.0766,186.1498,187.17680000000001,188.43
23120,153.58339999999998,146.7466,139.26640000000003,139.32999999999998,136.10660000000001,132.27,131.6368,131.7066
23123,174.5534,165.26659999999998,159.3268,158.7734,157.2502,157.2368,156.73,158.35
23124,151.89339999999999,145.6302,136.3668,130.59359999999998,129.04659999999998,127.68999999999998,126.56660000000002,126.6636
23125,204.4434,200.5066,199.9168,198.0134,197.83020000000002,198.43340000000003,199.34319999999997,199.7768
23126,136.5734,135.0234,126.25999999999999,118.65979999999999,114.7666,114.11659999999999,112.69980000000001,112.5568
23128,188.89979999999997,180.19,178.25,177.10660000000001,175.76999999999998,175.9668,176.82999999999998,178.27339999999998
23129,145.6602,140.44,133.8032,124.8498,122.94659999999999,121.99679999999998,120.92999999999999,121.0566
23130,195.1334,190.2,188.8002,187.2734,186.74679999999998,186.64000000000001,188.2466,188.91680000000002
23138,199.4732,194.80659999999997,193.9432,192.53340000000003,192.4066,192.49,193.9232,194.4966
20169,56.6432,66.33340000000001,75.16660000000002,78.8368,73.6934,66.87339999999999,63.480000000000004,61.510000000000005
20170,34.940000000000005,35.1798,36.2502,40.50019999999999,42.0732,40.68679999999999,37.836800000000004,41.850199999999994
20171,32.160000000000004,32.0466,33.7666,38.0202,40.3168,39.406600000000005,37.0366,40.1232
20175,50.7368,51.2368,54.993399999999994,60.03979999999999,61.3832,56.843399999999995,55.530199999999994,56.589999999999996
20176,56.4634,57.1,62.72339999999999,67.41659999999999,66.04999999999998,62.5398,60.8334,62.6534
20180,66.0564,69.8398,78.1668,81.25320000000002,78.0564,72.0868,74.1934,70.7
20181,68.03659999999999,76.07000000000001,83.67,83.88,79.2832,69.6468,69.6934,65.7168
23139,161.1134,154.18660000000003,147.3066,149.6534,147.04319999999998,142.1834,140.14000000000001,139.6302
23140,153.1332,146.08,136.2332,131.33679999999998,130.75,128.98340000000002,128.5898,128.5634
23141,140.9702,136.46679999999998,129.8934,121.39000000000001,119.28320000000001,117.9866,116.67,116.6798
23146,141.68339999999998,137.85,131.08999999999997,122.7832,120.66000000000001,119.7334,119.0134,118.89020000000001
23148,150.79680000000002,145.6066,136.51680000000002,129.85,128.77659999999997,127.79339999999998,126.8866,126.7198
23149,170.3734,164.0666,155.2632,153.9134,152.3098,151.1068,151.17980000000003,152.31
23150,140.45999999999998,135.5566,129.0432,120.1866,118.34,117.0598,115.85999999999999,115.8966
23153,154.95340000000002,148.48000000000002,138.64319999999998,133.4168,132.71319999999997,131.48999999999998,131.41019999999997,131.2668
23156,171.7466,165.3866,156.8834,155.4634,153.7334,152.63,152.6598,153.85000000000002
23160,160.2132,154.14659999999998,144.0266,141.60000000000002,141.2934,139.3568,137.6134,137.5634
23161,153.6232,147.98999999999998,137.09339999999997,133.1568,132.9602,131.93339999999998,131.2766,130.83679999999998
23163,198.23999999999998,193.0634,192.67680000000001,190.84680000000003,190.70319999999998,190.4966,192.23320000000004,192.76659999999998
