,ZCTA5CE10,zhvi_sfh,zhvi_mfh,zhvi_1bd,zhvi_2bd,zhvi_3bd,zhvi_4bd,zhvi_5bd,zri_all
0,20903,411485.0,132811.0,97111.0,169494.0,370863.0,443196.0,453451.0,2004.0
1,20715,353359.0,151136.0,184149.0,231795.0,344916.0,357194.0,427007.0,1895.0
2,20716,332640.0,189470.0,138294.0,230586.0,304802.0,364215.0,448082.0,1943.0
3,20720,432368.0,272576.0,398887.0,247074.0,338757.0,463750.0,503876.0,2080.0
4,20774,367446.0,186530.0,97768.0,212789.0,307462.0,394240.0,504181.0,1770.0
5,20781,362782.0,169546.0,128707.0,272726.0,398331.0,390723.0,366905.0,1617.0
6,20910,635028.0,282197.0,257564.0,370160.0,617643.0,664578.0,733117.0,1906.0
7,20782,357378.0,95165.0,82781.0,259208.0,357050.0,388460.0,391751.0,1849.0
8,20772,347050.0,214246.0,135274.0,230998.0,292993.0,383534.0,456070.0,1833.0
9,20607,408062.0,350248.0,377730.0,224939.0,309557.0,433167.0,466558.0,
10,20783,347944.0,96578.0,80914.0,110875.0,335118.0,358072.0,368025.0,1602.0
11,20784,296360.0,94152.0,81065.0,141656.0,288185.0,304433.0,316765.0,1762.0
12,20785,265437.0,176402.0,95215.0,198121.0,248231.0,312875.0,313643.0,1627.0
13,20724,337860.0,224483.0,345592.0,254436.0,332859.0,358671.0,432049.0,1884.0
14,20735,313820.0,276286.0,320352.0,254150.0,291479.0,332214.0,362931.0,1916.0
15,20740,344647.0,177016.0,135415.0,217729.0,330716.0,351320.0,369217.0,1706.0
16,20814,954997.0,308850.0,235658.0,395063.0,805349.0,896332.0,1342059.0,2312.0
17,20815,1292462.0,475346.0,297412.0,611044.0,865999.0,1221289.0,1680987.0,2984.0
18,20817,1015571.0,283904.0,206444.0,270411.0,825377.0,906956.0,1371970.0,2497.0
19,20743,251648.0,171078.0,226480.0,213582.0,244116.0,265810.0,275538.0,1688.0
20,20744,328758.0,174065.0,288200.0,187031.0,294445.0,343089.0,388915.0,1784.0
21,20745,274882.0,286531.0,282227.0,240249.0,268740.0,305269.0,310363.0,1682.0
22,20746,272011.0,208728.0,128697.0,222523.0,253864.0,288589.0,297641.0,1774.0
23,20850,632578.0,324605.0,250174.0,343931.0,527147.0,664864.0,828724.0,2014.0
24,20851,408959.0,365591.0,477006.0,377096.0,409345.0,413896.0,432044.0,2095.0
25,20705,360178.0,124662.0,106474.0,133846.0,319415.0,377081.0,396163.0,1684.0
26,20747,265478.0,92633.0,72148.0,172064.0,252856.0,286272.0,292113.0,1606.0
27,20748,287536.0,84251.0,73784.0,96161.0,263024.0,305751.0,314656.0,1524.0
28,20706,323259.0,298090.0,351701.0,270831.0,303623.0,331425.0,346379.0,1816.0
29,20707,340494.0,187728.0,140485.0,215684.0,292295.0,387683.0,436255.0,1722.0
30,20708,371970.0,195850.0,219719.0,185581.0,294150.0,381159.0,403364.0,1800.0
31,20710,286333.0,106688.0,69961.0,107065.0,269186.0,297072.0,305221.0,1621.0
32,20852,692032.0,321664.0,263668.0,384668.0,574866.0,705958.0,934690.0,2129.0
33,20853,474017.0,194791.0,170913.0,200606.0,413696.0,493991.0,532130.0,1738.0
34,20854,917397.0,830523.0,847453.0,722111.0,670974.0,845181.0,1197528.0,2381.0
35,20770,276044.0,159376.0,125348.0,165481.0,282233.0,379235.0,437762.0,1734.0
36,20877,394354.0,170665.0,104773.0,135073.0,338553.0,435559.0,473227.0,1755.0
37,20878,605383.0,297805.0,247252.0,309852.0,422906.0,647031.0,753939.0,1919.0
38,20886,301541.0,154159.0,114683.0,198016.0,279308.0,375455.0,470379.0,1645.0
39,20901,467566.0,239004.0,191780.0,327811.0,471479.0,485990.0,503319.0,1817.0
40,22309,529382.0,201846.0,160239.0,194776.0,402628.0,592599.0,693930.0,2045.0
41,22310,531068.0,316716.0,194548.0,336387.0,491981.0,604656.0,721426.0,2073.0
42,22311,639289.0,314190.0,254607.0,351928.0,620382.0,711962.0,720233.0,2052.0
43,22312,548018.0,225730.0,180902.0,326107.0,514882.0,617734.0,721043.0,2074.0
44,22314,843413.0,462990.0,327538.0,641475.0,893051.0,1121861.0,1564308.0,2133.0
45,22315,541741.0,349300.0,247205.0,372129.0,524334.0,616542.0,749240.0,2245.0
46,20120,518414.0,306899.0,225542.0,317763.0,426804.0,627253.0,746554.0,2003.0
47,20147,583009.0,347781.0,222225.0,354714.0,461377.0,669342.0,746964.0,2176.0
48,20148,674991.0,391589.0,226618.0,358566.0,518859.0,707455.0,820288.0,2203.0
49,20151,615740.0,272506.0,238581.0,265778.0,450828.0,683158.0,734684.0,1958.0
50,20152,621578.0,386838.0,544342.0,311327.0,461633.0,687638.0,784880.0,2232.0
51,20164,437998.0,273952.0,180662.0,262610.0,398316.0,457702.0,475018.0,2029.0
52,20165,559097.0,340492.0,241970.0,317720.0,461537.0,644571.0,714423.0,2264.0
53,20166,463485.0,326109.0,580116.0,284557.0,427618.0,522393.0,780220.0,2065.0
54,22079,548435.0,278682.0,438949.0,316768.0,446634.0,655710.0,812892.0,1992.0
55,20170,530412.0,257090.0,215538.0,276406.0,429003.0,579337.0,650525.0,2055.0
