ZCTA5CE10,INTPTLAT10,INTPTLON10,STUSPS
"23085","+37.6889537","-076.8256452",VA
"23086","+37.6685728","-077.0544136",VA
"23089","+37.4557955","-076.9035007",VA
"23091","+37.6562637","-076.8024918",VA
"23092","+37.6067689","-076.5147485",VA
"23093","+38.0041674","-078.0400574",VA
"23102","+37.7081193","-077.8286536",VA
"23103","+37.6480344","-077.7236401",VA
"23106","+37.7161066","-077.2015109",VA
"23108","+37.6447410","-076.7346140",VA
"23109","+37.4327170","-076.3325059",VA
"23110","+37.5828205","-076.7711082",VA
"23111","+37.6135508","-077.2430187",VA
"20158","+39.1396474","-077.6588587",VA
"20164","+39.0132988","-077.3950669",VA
"20165","+39.0575376","-077.3920090",VA
"20166","+38.9861371","-077.4556944",VA
"23112","+37.4334053","-077.6628623",VA
"23113","+37.5398088","-077.6797428",VA
"23114","+37.4822263","-077.6597711",VA
"23115","+37.8109844","-076.9144680",VA
"23116","+37.6756492","-077.3367076",VA
"23117","+37.9819988","-077.8739756",VA
"23119","+37.4481737","-076.2771780",VA
"23120","+37.4220804","-077.7813703",VA
"23123","+37.6518338","-078.3011416",VA
"23124","+37.5509501","-077.0440415",VA
"23125","+37.3271266","-076.2808295",VA
"23126","+37.9234605","-077.1443162",VA
"23128","+37.4360671","-076.4329581",VA
"23129","+37.6816303","-077.7704202",VA
"23130","+37.3872855","-076.2594393",VA
"23138","+37.3426514","-076.3043243",VA
"20169","+38.8770644","-077.6476062",VA
"20170","+38.9798421","-077.3797496",VA
"20171","+38.9237795","-077.3965458",VA
"20175","+39.0644337","-077.6038459",VA
"20176","+39.1848534","-077.5431839",VA
"20180","+39.2685909","-077.6376364",VA
"20181","+38.6891263","-077.5696104",VA
"23139","+37.5459880","-077.9367278",VA
"23140","+37.4350129","-077.0383105",VA
"23141","+37.5286896","-077.1561443",VA
"23146","+37.7234278","-077.7103985",VA
"23148","+37.8464284","-077.0546396",VA
"23149","+37.5756714","-076.6092825",VA
"23150","+37.5011407","-077.2525808",VA
"23153","+37.7708047","-077.9472587",VA
"23156","+37.5211414","-076.7066183",VA
"23160","+37.6281625","-077.8459161",VA
"23161","+37.7157058","-076.9352286",VA
"23163","+37.3534493","-076.3109485",VA
"23168","+37.3957569","-076.8251097",VA
"23169","+37.6034513","-076.4572390",VA
"23173","+37.5776762","-077.5369690",VA
"20184","+39.0006706","-077.8837541",VA
"20186","+38.6981405","-077.8514255",VA
"20187","+38.7218469","-077.7481869",VA
"20190","+38.9591868","-077.3410700",VA
"20191","+38.9333152","-077.3501175",VA
"20194","+38.9810409","-077.3407847",VA
"20197","+39.1952099","-077.6280096",VA
"20198","+38.8842020","-077.7446175",VA
"22003","+38.8302359","-077.2147245",VA
"23175","+37.6548691","-076.6243570",VA
"23176","+37.5729408","-076.4149762",VA
"23177","+37.7550094","-077.0144930",VA
"23180","+37.7024275","-076.6152654",VA
"23181","+37.5974913","-076.8890603",VA
"23185","+37.2287509","-076.7186574",VA
"20910","+39.0028598","-077.0366464",MD
"20912","+38.9816005","-077.0011588",MD
"23434","+36.7030034","-076.5921049",VA
"23435","+36.8413400","-076.4842315",VA
"23436","+36.8937555","-076.5069166",VA
"23437","+36.6271154","-076.8031971",VA
"23438","+36.5814926","-076.6965448",VA
"23440","+37.8444175","-075.9976938",VA
"21001","+39.5044917","-076.2010478",MD
"21005","+39.4930878","-076.1725410",MD
"21009","+39.4668819","-076.2952295",MD
"21010","+39.3909318","-076.2926291",MD
"23441","+37.7102679","-075.6996850",VA
"23442","+37.9047565","-075.5754368",VA
"23451","+36.8651264","-076.0058274",VA
"21012","+39.0465308","-076.4955494",MD
"21013","+39.5114897","-076.4908000",MD
"21014","+39.5360835","-076.3521843",MD
"21015","+39.5441757","-076.2924690",MD
"21017","+39.4748314","-076.2345748",MD
"21028","+39.5659645","-076.2495270",MD
"23452","+36.8457559","-076.0928070",VA
"23453","+36.7834905","-076.0712074",VA
"23454","+36.8180371","-076.0308570",VA
"23455","+36.8929973","-076.1471083",VA
"23456","+36.7369537","-076.0359871",VA
"23457","+36.6127473","-076.0241393",VA
"21029","+39.2135600","-076.9593916",MD
"21030","+39.4924123","-076.6744427",MD
"21031","+39.4872051","-076.6580131",MD
"21032","+39.0283428","-076.6041445",MD
"23459","+36.9246550","-076.0192292",VA
"23460","+36.8079766","-076.0284115",VA
"23461","+36.7754025","-075.9632503",VA
"23462","+36.8373127","-076.1505139",VA
"23464","+36.7969165","-076.1876305",VA
"23480","+37.6186805","-075.6906586",VA
"23486","+37.5131515","-075.8136667",VA
"23487","+36.8473682","-076.7250476",VA
"23488","+37.9476127","-075.5984594",VA
"23502","+36.8609410","-076.2049081",VA
"23503","+36.9487857","-076.2664591",VA
"21034","+39.6405818","-076.2231041",MD
"21035","+38.9382997","-076.6265878",MD
"21036","+39.2346438","-077.0067390",MD
"21658","+38.9442683","-076.1439380",MD
"21659","+38.5898809","-075.7674267",MD
"21660","+38.9557504","-075.8901072",MD
"21661","+39.0961207","-076.2194881",MD
"21662","+38.7105881","-076.2083465",MD
"23504","+36.8573016","-076.2656124",VA
"23505","+36.9142203","-076.2894050",VA
"23507","+36.8645639","-076.3032182",VA
"23508","+36.8848883","-076.3102700",VA
"21663","+38.7882856","-076.2286564",MD
"21664","+38.6070806","-075.9446935",MD
"21665","+38.7518003","-076.3325970",MD
"21666","+38.9401390","-076.3357899",MD
"21667","+39.3507121","-076.0420016",MD
"21668","+39.1911914","-075.8529999",MD
"21669","+38.4600809","-076.2851607",MD
"21671","+38.6955736","-076.3351279",MD
"21672","+38.2716986","-076.0527038",MD
"21673","+38.6422853","-076.0434921",MD
"21675","+38.2889789","-076.0895996",MD
"21676","+38.7732061","-076.3531885",MD
"21677","+38.4721825","-076.1738435",MD
"23509","+36.8824127","-076.2639598",VA
"20036","+38.9070166","-077.0415694",DC
"20037","+38.8988888","-077.0554558",DC
"23881","+37.1807410","-076.9778290",VA
"23882","+36.9261726","-077.4216870",VA
"23883","+37.1359617","-076.7358919",VA
"23884","+36.9172343","-077.2794423",VA
"23885","+37.1902867","-077.5726591",VA
"23887","+36.5733623","-077.8169167",VA
"23888","+36.9499583","-076.9750420",VA
"23889","+36.9029331","-077.7472458",VA
"24055","+36.7561687","-079.9975541",VA
"24058","+37.1766630","-080.6222517",VA
"24059","+37.1637255","-080.1304844",VA
"20045","+38.8967315","-077.0307978",DC
"20052","+38.9001263","-077.0469809",DC
"20053","+38.8841216","-077.0112238",DC
"20057","+38.9091201","-077.0757351",DC
"20064","+38.9363636","-076.9991944",DC
"20202","+38.8870708","-077.0210103",DC
"20204","+38.8855585","-077.0144293",DC
"20228","+38.8864117","-077.0302819",DC
"20230","+38.8937940","-077.0327979",DC
"20240","+38.8944563","-077.0426047",DC
