ZCTA5CE10,ct_06:00,ct_06:30,ct_07:00,ct_07:30,ct_08:00,ct_08:30,ct_09:00,ct_09:30,zhvi_sfh,zhvi_mfh,zhvi_1bd,zhvi_2bd,zhvi_3bd,zhvi_4bd,zhvi_5bd,zri_all,venue_count
20903,35.9334,43.6932,46.8932,50.18660000000001,49.94000000000001,46.8766,41.290000000000006,36.91,411485.0,132811.0,97111.0,169494.0,370863.0,443196.0,453451.0,2004.0,18
20715,42.4998,48.84,55.5534,57.2766,57.8668,53.1632,46.0534,41.82680000000001,353359.0,151136.0,184149.0,231795.0,344916.0,357194.0,427007.0,1895.0,2
20716,39.6434,47.4834,54.26000000000001,56.0366,56.8734,51.8068,44.67999999999999,40.66,332640.0,189470.0,138294.0,230586.0,304802.0,364215.0,448082.0,1943.0,1
20720,38.2502,46.2368,50.6466,53.32680000000001,54.75660000000001,51.6768,43.6,39.79,432368.0,272576.0,398887.0,247074.0,338757.0,463750.0,503876.0,2080.0,2
20781,26.2168,32.023399999999995,35.3202,38.0568,39.2702,39.5266,34.7366,30.6,362782.0,169546.0,128707.0,272726.0,398331.0,390723.0,366905.0,1617.0,6
20910,32.7868,36.4134,39.0332,42.08640000000001,44.5034,44.71999999999999,44.0734,43.4834,635028.0,282197.0,257564.0,370160.0,617643.0,664578.0,733117.0,1906.0,1
20782,36.3498,41.0766,44.7736,48.1632,50.1766,46.8368,41.3466,36.83640000000001,357378.0,95165.0,82781.0,259208.0,357050.0,388460.0,391751.0,1849.0,6
20784,24.7866,30.37,33.393600000000006,38.0034,38.7032,38.2268,33.47,28.9634,296360.0,94152.0,81065.0,141656.0,288185.0,304433.0,316765.0,1762.0,14
20785,25.7232,31.82,35.3732,40.383,40.2398,40.57,34.74999999999999,30.093000000000004,265437.0,176402.0,95215.0,198121.0,248231.0,312875.0,313643.0,1627.0,12
20724,39.7034,49.0134,52.34680000000001,56.05,55.9234,53.03680000000001,47.58320000000001,41.4168,337860.0,224483.0,345592.0,254436.0,332859.0,358671.0,432049.0,1884.0,15
20740,35.0002,43.18320000000001,45.8966,48.9634,48.69,45.40660000000001,40.1032,36.1866,344647.0,177016.0,135415.0,217729.0,330716.0,351320.0,369217.0,1706.0,14
20814,29.5234,29.9634,31.3236,33.4132,35.75660000000001,38.3732,36.88999999999999,34.846599999999995,954997.0,308850.0,235658.0,395063.0,805349.0,896332.0,1342059.0,2312.0,12
